kanji, hanViet
挨    ,     AI   
宛    ,     UYÊN   
闇    ,     ÁM   
椅    ,     Y   
畏    ,     ÚY   
萎    ,     NUY   
咽    ,     YẾT   
淫    ,     DÂM   
臼    ,     CỮU   
唄    ,     BÁI   
餌    ,     NHỊ   
怨    ,     OÁN   
艶    ,     DIỄM   
旺    ,     VƯỢNG   
臆    ,     ỨC   
俺    ,     YÊM   
苛    ,     HÀ   
牙    ,     NHA   
崖    ,     NHAI   
蓋    ,     CÁI   
骸    ,     HÀI   
柿    ,     THỊ   
顎    ,     NGẠC   
葛    ,     CÁT   
釜    ,     PHỦ   
鎌    ,     LIÊM   
瓦    ,     NGÕA   
韓    ,     HÀN   
玩    ,     NGOẠN   
伎    ,     KĨ   
畿    ,     KÌ   
亀    ,     QUI   
僅    ,     CẬN   
巾    ,     CÂN   
錦    ,     CẨM   
駒    ,     CÂU   
串    ,     XUYẾN   
窟    ,     QUẬT   
稽    ,     KÊ   
詣    ,     NGHỆ   
隙    ,     KHÍCH   
桁    ,     HÀNH   
拳    ,     QUYỀN   
鍵    ,     KIỆN   
舷    ,     HUYỀN   
股    ,     CỔ   
虎    ,     HỔ   
乞    ,     KHẤT   
勾    ,     CÂU   
喉    ,     HẦU   
梗    ,     NGẠNH   
頃    ,     KHOẢNH   
痕    ,     NGÂN   
沙    ,     SA   
挫    ,     TỎA   
塞    ,     TẮC   
采    ,     THÁI   
柵    ,     SÁCH   
拶    ,     TẠT   
斬    ,     TRẢM   
叱    ,     SẤT   
嫉    ,     TẬT   
腫    ,     THŨNG   
呪    ,     CHÚ   
蹴    ,     XÚC   
拭    ,     THỨC   
尻    ,     KHÀO   
芯    ,     TÂM   
腎    ,     THẬN   
須    ,     TU   
裾    ,     CƯ   
凄    ,     THÊ   
醒    ,     TỈNH   
戚    ,     THÍCH   
脊    ,     TÍCH   
煎    ,     TIÊN   
羨    ,     TIỆN/ TIỂN   
腺    ,     TUYẾN   
詮    ,     THUYÊN   
膳    ,     THIỆN   
曽    ,     TẰNG   
狙    ,     THƯ   
遡    ,     TỐ   
爽    ,     SẢNG   
痩    ,     SẤU   
捉    ,     TRÓC   
袖    ,     TỤ   
遜    ,     TỐN   
汰    ,     THẢI   
唾    ,     THÓA   
堆    ,     ĐÔI   
戴    ,     ĐÁI   
誰    ,     THÙY   
旦    ,     ĐÁN   
綻    ,     TRÁN   
酎    ,     TRỮU   
捗    ,     DUỆ   
椎    ,     CHUY   
潰    ,     HỘI   
爪    ,     TRẢO   
鶴    ,     HẠC   
諦    ,     ĐẾ   
溺    ,     NỊCH   
填    ,     ĐIỀN   
貼    ,     THIẾP   
妬    ,     ĐỐ   
賭    ,     ĐỔ   
藤    ,     ĐẰNG   
憧    ,     SUNG   
瞳    ,     ĐỒNG   
頓    ,     ĐỐN   
那    ,     NA   
謎    ,     MÊ   
鍋    ,     OA   
匂    ,     MÙI   
虹    ,     HỒNG   
捻    ,     NIỆM   
罵    ,     MẠ   
剥    ,     BÁC   
箸    ,     TRỨ   
斑    ,     BAN   
氾    ,     PHIẾM   
汎    ,     PHIẾM   
眉    ,     MI   
膝    ,     TẤT   
肘    ,     TRỬU   
蔽    ,     TẾ   
蔑    ,     MIỆT   
蜂    ,     PHONG   
貌    ,     MẠO   
頬    ,     GIÁP   
睦    ,     MỤC   
勃    ,     BỘT   
昧    ,     MUỘI   
枕    ,     CHẨM   
蜜    ,     MẬT   
冥    ,     MINH   
麺    ,     MIẾN   
餅    ,     BÍNH   
冶    ,     DÃ   
弥    ,     DI   
湧    ,     DŨNG   
妖    ,     YÊU   
沃    ,     ỐC   
嵐    ,     LAM   
藍    ,     LAM   
璃    ,     LI   
侶    ,     LỮ   
瞭    ,     LIỆU   
瑠    ,     LƯU   
呂    ,     LỮ   
賂    ,     LỘ   
弄    ,     LỘNG   
麓    ,     LỘC   
脇    ,     HIẾP   
丼    ,     ĐẢM   
傲    ,     NGẠO   
刹    ,     SÁT   
哺    ,     BỘ   
喩    ,     DỤ   
嗅    ,     KHỨU   
嘲    ,     TRÀO   
毀    ,     HỦY   
彙    ,     VỊ   
恣    ,     TỨ   
惧    ,     CỤ   
慄    ,     LẬT   
憬    ,     CẢNH   
拉    ,     LẠP   
摯    ,     CHÍ   
曖    ,     ÁI   
楷    ,     GIAI   
鬱    ,     UẤT   
璧    ,     BÍCH   
瘍    ,     DƯƠNG   
箋    ,     TIÊN   
籠    ,     LUNG   
緻    ,     TRÍ   
羞    ,     TU   
訃    ,     PHÓ   
諧    ,     HÀI   
貪    ,     THAM   
踪    ,     TUNG   
辣    ,     LẠT   
錮    ,     CỐ   
剝    ,     BÁC   
塡    ,     ĐIỀN   
頰    ,     GIÁP   
